cleaned_description,count,delta_re
ball,0_0,0.04186030603739388
ball,0_1,0.03517793292128434
ball,0_2,0.028228705819630245
ball,1_0,0.06891366162217434
ball,1_1,0.05219924910697233
ball,1_2,0.040816029818300174
ball,2_0,0.11947433485998175
ball,2_1,0.10014916353737632
ball,2_2,0.09871709653765481
ball,3_0,0.10756932495369426
ball,3_1,0.1918585784270985
ball,3_2,0.27251213318512346
called_strike,0_0,-0.0483281712717671
called_strike,0_1,-0.05988150634777621
called_strike,0_2,-0.1606189284527592
called_strike,1_0,-0.05512999706244173
called_strike,1_1,-0.06690290377418763
called_strike,1_2,-0.18434792425626456
called_strike,2_0,-0.07122275803561522
called_strike,2_1,-0.07966787319433492
called_strike,2_2,-0.21868064528208647
called_strike,3_0,-0.08978563044106698
called_strike,3_1,-0.08015707081056885
called_strike,3_2,-0.3174496854999036
catcher_interf,0_0,0.4785258816349453
catcher_interf,0_1,0.1479261097270574
catcher_interf,0_2,0.6366399838053023
catcher_interf,1_0,0.2763727486471032
catcher_interf,1_1,0.5106442435040689
catcher_interf,1_2,0.38690007977548563
catcher_interf,2_0,0.1603488772943813
catcher_interf,2_2,0.49908795838020537
catcher_interf,3_0,0.11500356248529009
catcher_interf,3_1,0.3211962223455856
catcher_interf,3_2,0.3714026945347707
double,0_0,0.7828723146066747
double,0_1,0.8269925980745865
double,0_2,0.8924030873296284
double,1_0,0.7290858738246331
double,1_1,0.7770388419428997
double,1_2,0.856906038042326
double,2_0,0.6786666217643623
double,2_1,0.7121819560802413
double,2_2,0.7994556894314431
double,3_0,0.6025819685180958
double,3_1,0.6241197473808555
double,3_2,0.7170307202414264
field_error,0_0,0.43140264320184746
field_error,0_1,0.4735592593607443
field_error,0_2,0.5465997910932026
field_error,1_0,0.43013941838201475
field_error,1_1,0.4376116139138764
field_error,1_2,0.5181606408450529
field_error,2_0,0.3671963723118232
field_error,2_1,0.4031159668895044
field_error,2_2,0.47678436512914796
field_error,3_0,0.2470433887111855
field_error,3_1,0.35123107552524924
field_error,3_2,0.4020225810859148
foul_strike,0_0,-0.05309791728729874
foul_strike,0_1,-0.06398797593370131
foul_strike,0_2,-0.0003932762093916134
foul_strike,1_0,-0.05778854244800954
foul_strike,1_1,-0.07044923580848252
foul_strike,1_2,-0.0001430284248403077
foul_strike,2_0,-0.07290059130685639
foul_strike,2_1,-0.08125467415581797
foul_strike,2_2,-5.411806258328241e-05
foul_strike,3_0,-0.09382296171174286
foul_strike,3_1,-0.08268123722733493
foul_strike,3_2,2.6061840004194884e-05
hit_by_pitch,0_0,0.35871405576435567
hit_by_pitch,0_1,0.40808726005874174
hit_by_pitch,0_2,0.4899262495247139
hit_by_pitch,1_0,0.30905349172047636
hit_by_pitch,1_1,0.3579613086633796
hit_by_pitch,1_2,0.43486206541565897
hit_by_pitch,2_0,0.2319878259682419
hit_by_pitch,2_1,0.3038996778157876
hit_by_pitch,2_2,0.3912500774494271
hit_by_pitch,3_0,0.11133422227124286
hit_by_pitch,3_1,0.19092878992031165
hit_by_pitch,3_2,0.2889290739454924
home_run,0_0,1.398310050320104
home_run,0_1,1.4333211905367786
home_run,0_2,1.5213022516160928
home_run,1_0,1.3569120557244099
home_run,1_1,1.396503228749254
home_run,1_2,1.465181293940305
home_run,2_0,1.2866859434538147
home_run,2_1,1.343650583874377
home_run,2_2,1.4282036998728036
home_run,3_0,1.3051747143995873
home_run,3_1,1.2637706964419237
home_run,3_2,1.2988352475539002
out,0_0,-0.27643955073930515
out,0_1,-0.221861377818046
out,0_2,-0.15799435091975667
out,1_0,-0.3137055828708314
out,1_1,-0.25063816487710033
out,1_2,-0.18240256159809765
out,2_0,-0.37839659821572097
out,2_1,-0.3012217334390437
out,2_2,-0.21796625550315427
out,3_0,-0.5102037483497088
out,3_1,-0.40110484149420383
out,3_2,-0.3121308112933775
single,0_0,0.47041005042024137
single,0_1,0.5106944055489013
single,0_2,0.5821385968175323
single,1_0,0.4237170318889287
single,1_1,0.4814666308539935
single,1_2,0.5404982190980466
single,2_0,0.3590679027051504
single,2_1,0.42760868356873083
single,2_2,0.5002454022477087
single,3_0,0.31657918947050584
single,3_1,0.321491202066281
single,3_2,0.40518907421668626
swinging_strike,0_0,-0.05276954758021608
swinging_strike,0_1,-0.062097947146110964
swinging_strike,0_2,-0.16413292886800257
swinging_strike,1_0,-0.05740430250225786
swinging_strike,1_1,-0.06879435255087825
swinging_strike,1_2,-0.1888213967902905
swinging_strike,2_0,-0.07331765501453537
swinging_strike,2_1,-0.08108792079382866
swinging_strike,2_2,-0.22594638930879218
swinging_strike,3_0,-0.08956979070165753
swinging_strike,3_1,-0.08513716023841499
swinging_strike,3_2,-0.3260152681089962
triple,0_0,1.0407500481297383
triple,0_1,1.0873095670134296
triple,0_2,1.147286578389826
triple,1_0,1.0194801162105482
triple,1_1,1.0730441212965733
triple,1_2,1.1400689226093301
triple,2_0,0.9843488870784373
triple,2_1,1.0173407807178567
triple,2_2,1.0724156461296475
triple,3_0,0.9311119028045202
triple,3_1,0.9363008913543681
triple,3_2,0.9267836156528589
